Week,Team,Projected,Actual,Delta_proj_minus_actual,Opponent
1,team_1,120.1,87.24,32.86,team_7
2,team_1,119.5,95.89,23.61,team_8
3,team_1,119,90.75,28.25,team_3
4,team_1,118.3,107.41,10.89,team_2
5,team_1,113.9,119.19,-5.29,team_10
6,team_1,113.7,94.02,19.68,team_5
7,team_1,112.2,120.73,-8.53,team_4
8,team_1,112.4,83.75,28.65,team_9
9,team_1,114.8,118.26,-3.46,team_10
10,team_1,111,80.21,30.79,team_7
11,team_1,104.5,120.42,-15.92,team_8
12,team_1,115.8,162.24,-46.44,team_3
13,team_1,120.3,125.58,-5.28,team_6
14,team_1,107.3,107.54,-0.24,team_2
15,team_1,115.9,107.75,8.15,team_9
16,team_1,114.8,79.29,35.51,team_9
17,team_1,102.9,106.7,-3.8,team_10
18,team_1,98.4,98.98,-0.58,team_10
1,team_2,119.5,119.68,-0.18,team_5
2,team_2,120.8,88.24,32.56,team_6
3,team_2,116.6,109.73,6.87,team_4
4,team_2,121.6,136.03,-14.43,team_1
5,team_2,124.5,153.47,-28.97,team_9
6,team_2,118.6,87.67,30.93,team_8
7,team_2,116.9,130.56,-13.66,team_10
8,team_2,102.6,115.64,-13.04,team_3
9,team_2,113.2,123.84,-10.64,team_5
10,team_2,107.6,128.97,-21.37,team_6
11,team_2,121.5,112.91,8.59,team_4
12,team_2,119.2,129.31,-10.11,team_7
13,team_2,118.3,143.99,-25.69,team_9
14,team_2,105.6,102.48,3.12,team_1
15,team_2,112.6,148.69,-36.09,team_5
16,team_2,112.6,114.82,-2.22,team_5
17,team_2,113.9,157.67,-43.77,team_3
18,team_2,110.2,101.6,8.6,team_3
1,team_3,117.7,114.77,2.93,team_8
2,team_3,120,132.24,-12.24,team_4
3,team_3,120.1,80.72,39.38,team_1
4,team_3,118,174.91,-56.91,team_10
5,team_3,119.2,66.76,52.44,team_7
6,team_3,117.5,116.7,0.8,team_9
7,team_3,102.3,84.29,18.01,team_6
8,team_3,117.2,176.56,-59.36,team_2
9,team_3,114.7,104.7,10,team_7
10,team_3,114.4,65.2,49.2,team_8
11,team_3,104.2,67.91,36.29,team_5
12,team_3,119.3,124.85,-5.55,team_1
13,team_3,107.4,127.28,-19.88,team_10
14,team_3,107.3,132.41,-25.11,team_4
15,team_3,111.2,116.6,-5.4,team_4
16,team_3,110.2,107.54,2.66,team_4
17,team_3,104.7,83.38,21.32,team_2
18,team_3,103.5,97.23,6.27,team_2
1,team_4,107.7,83.12,24.58,team_6
2,team_4,110.1,101.72,8.38,team_3
3,team_4,107.5,101.34,6.16,team_2
4,team_4,116.5,101.58,14.92,team_9
5,team_4,118.4,79.78,38.62,team_5
6,team_4,100.9,131.89,-30.99,team_7
7,team_4,114.8,123.03,-8.23,team_1
8,team_4,107.8,109.1,-1.3,team_8
9,team_4,108.9,106.29,2.61,team_6
10,team_4,90.6,84.3,6.3,team_10
11,team_4,95.4,144.62,-49.22,team_2
12,team_4,117.8,95.76,22.04,team_9
13,team_4,119.7,142.58,-22.88,team_5
14,team_4,115.5,94.81,20.69,team_3
15,team_4,114.9,109.26,5.64,team_3
16,team_4,117.6,82.4,35.2,team_3
17,team_4,115.1,108.27,6.83,team_5
18,team_4,123,105.07,17.93,team_5
1,team_5,114.5,130.13,-15.63,team_2
2,team_5,114.4,149.48,-35.08,team_9
3,team_5,116,142.22,-26.22,team_7
4,team_5,116.9,105.11,11.79,team_6
5,team_5,118.2,84.86,33.34,team_4
6,team_5,109.7,89.88,19.82,team_1
7,team_5,118.5,93.82,24.68,team_8
8,team_5,109,158,-49,team_10
9,team_5,124.4,89.72,34.68,team_2
10,team_5,116.4,127.84,-11.44,team_9
11,team_5,114.2,113.31,0.89,team_3
12,team_5,123.1,128.33,-5.23,team_6
13,team_5,119.3,91.44,27.86,team_4
14,team_5,111.5,82.03,29.47,team_7
15,team_5,115.1,97.73,17.37,team_2
16,team_5,112,61.54,50.46,team_2
17,team_5,93,87.63,5.37,team_4
18,team_5,83.1,55.22,27.88,team_4
1,team_6,107.1,124.72,-17.62,team_4
2,team_6,116.3,143.98,-27.68,team_2
3,team_6,117.1,89.53,27.57,team_9
4,team_6,110.9,84.48,26.42,team_5
5,team_6,116.4,149.56,-33.16,team_8
6,team_6,113.1,85.87,27.23,team_10
7,team_6,114.6,115.09,-0.49,team_3
8,team_6,114,140.82,-26.82,team_7
9,team_6,97.9,90.31,7.59,team_4
10,team_6,112.1,133.59,-21.49,team_2
11,team_6,114.4,103.18,11.22,team_9
12,team_6,108.1,98.76,9.34,team_5
13,team_6,114,80.88,33.12,team_1
14,team_6,105.8,86.86,18.94,team_8
15,team_6,102.7,145.94,-43.24,team_10
16,team_6,110.9,137.98,-27.08,team_10
17,team_6,106.1,90.88,15.22,team_7
18,team_6,92.9,75.67,17.23,team_7
1,team_7,122.6,120.25,2.35,team_1
2,team_7,117,127.5,-10.5,team_10
3,team_7,116.3,107.75,8.55,team_5
4,team_7,114.2,86.48,27.72,team_8
5,team_7,110.6,146.22,-35.62,team_3
6,team_7,107.7,108.56,-0.86,team_4
7,team_7,83.9,71.54,12.36,team_9
8,team_7,109.3,127.92,-18.62,team_6
9,team_7,100.6,104.42,-3.82,team_3
10,team_7,102.7,96.3,6.4,team_1
11,team_7,90.9,111.6,-20.7,team_10
12,team_7,114.1,109.81,4.29,team_2
13,team_7,109.9,110.48,-0.58,team_8
14,team_7,111.4,102.19,9.21,team_5
15,team_7,115.4,123.38,-7.98,team_8
16,team_7,96.1,69.13,26.97,team_8
17,team_7,110.3,108.64,1.66,team_6
18,team_7,63.5,57.9,5.6,team_6
1,team_8,116.6,91.6,25,team_3
2,team_8,115.2,134.31,-19.11,team_1
3,team_8,111,99.13,11.87,team_10
4,team_8,110.4,87.2,23.2,team_7
5,team_8,113,110.47,2.53,team_6
6,team_8,95,96.84,-1.84,team_2
7,team_8,97.3,89.46,7.84,team_5
8,team_8,104.6,84.09,20.51,team_4
9,team_8,104.4,141.49,-37.09,team_9
10,team_8,101.4,109.47,-8.07,team_3
11,team_8,100.7,94.03,6.67,team_1
12,team_8,108.7,128.59,-19.89,team_10
13,team_8,86,77.84,8.16,team_7
14,team_8,76.3,88.37,-12.07,team_6
15,team_8,104.2,85.96,18.24,team_7
16,team_8,102.4,95.71,6.69,team_7
17,team_8,111.8,92.59,19.21,team_9
18,team_8,89.6,90.58,-0.98,team_9
1,team_9,114.7,72.88,41.82,team_10
2,team_9,100.6,91.87,8.73,team_5
3,team_9,113.3,97.57,15.73,team_6
4,team_9,96.7,101.38,-4.68,team_4
5,team_9,111.6,123.81,-12.21,team_2
6,team_9,90.6,105.14,-14.54,team_3
7,team_9,113.6,86.24,27.36,team_7
8,team_9,112.9,197.81,-84.91,team_1
9,team_9,107.3,85.46,21.84,team_8
10,team_9,99.7,82.72,16.98,team_5
11,team_9,109.8,117.67,-7.87,team_6
12,team_9,105.3,80.75,24.55,team_4
13,team_9,104.2,104.5,-0.3,team_2
14,team_9,111.1,109.4,1.7,team_10
15,team_9,107.5,99.21,8.29,team_1
16,team_9,109.7,124.25,-14.55,team_1
17,team_9,85,75.96,9.04,team_8
18,team_9,101.5,67.63,33.87,team_8
1,team_10,118,118.18,-0.18,team_9
2,team_10,120,106.88,13.12,team_7
3,team_10,124,115.22,8.78,team_8
4,team_10,124.7,166.2,-41.5,team_3
5,team_10,121.6,126.27,-4.67,team_1
6,team_10,118.5,97.29,21.21,team_6
7,team_10,116.7,97.76,18.94,team_2
8,team_10,121.1,107.47,13.63,team_5
9,team_10,105.5,124.77,-19.27,team_1
10,team_10,132.3,116.76,15.54,team_4
11,team_10,127.7,109.01,18.69,team_7
12,team_10,110.9,96.31,14.59,team_8
13,team_10,119.3,107.31,11.99,team_3
14,team_10,108.9,108.38,0.52,team_9
15,team_10,108.6,123.93,-15.33,team_6
16,team_10,111,134.27,-23.27,team_6
17,team_10,120.9,90.43,30.47,team_1
18,team_10,96.5,85.12,11.38,team_1
